time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,1,0,0,0,0,1,1,2,0,0,3,1,1,0,0,0,0,3,6,0,7,0,2,1,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,0,2,0,2,0,1,2,0,0,1,0,0,4,0,1,0,1,1,1,2,0,2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,52,82,51,27,12,39,25,42,29,29,23,12,9,2,10,8,69,5,15,44,47,27,77,3,2,0,8,64,4,0,4,0,18,35,8,4,24,20,36,29,14,20,7,35,2,2,14,38,65,31,10,15,1,21,12,25,0,0,2,9,1,5,31,63,34,15,3,25,0,28,1,7,14,51,27,56,16,62,1,67,36,3,14,27,41,15,0,10,52,3,25,37,43,49,3,35,35,0,6,63,2,5,86,5,68,34,29,0,97,10,19,9,7,2,26,4,2,66
7,122,96,212,92,90,43,50,68,79,71,68,39,38,14,7,37,18,143,16,22,104,104,71,152,1,14,4,16,151,19,0,11,5,29,42,32,22,52,47,77,78,24,77,23,97,0,12,46,77,103,63,21,48,1,103,23,49,0,2,13,11,0,15,82,157,86,22,16,53,1,79,2,29,26,103,48,126,43,112,5,143,59,12,44,75,84,25,0,31,80,15,43,84,130,146,4,79,56,0,6,97,19,27,159,18,108,120,118,1,232,37,53,36,37,8,83,6,11,133
8,237,104,276,101,107,59,72,74,100,138,99,44,97,17,13,44,22,224,39,28,155,111,71,212,10,22,4,43,162,20,0,14,7,51,58,70,45,92,25,92,140,46,122,46,108,0,23,76,99,150,92,39,52,6,132,56,64,4,4,18,11,0,24,114,148,143,35,26,80,2,176,4,64,47,163,65,141,86,127,8,171,66,17,54,102,163,38,1,38,101,32,51,157,230,340,5,116,73,0,21,124,24,44,214,41,130,221,196,4,292,81,85,44,38,13,116,8,15,145
9,120,68,137,82,68,40,58,56,49,61,82,30,31,11,9,23,18,112,17,26,107,71,75,101,7,10,4,48,126,13,0,12,0,32,60,37,35,47,45,64,74,20,85,25,84,0,6,31,51,54,44,32,35,4,51,38,48,3,3,9,14,0,14,61,78,74,16,64,42,0,76,5,25,26,107,46,79,27,70,0,88,31,10,26,54,54,45,0,24,47,27,42,77,101,131,6,55,59,0,13,113,18,23,149,28,86,115,94,1,172,30,38,26,11,14,50,9,8,94
10,98,41,123,47,48,29,49,53,38,28,81,24,32,12,6,20,9,87,15,37,91,46,44,81,3,9,4,42,108,13,0,9,0,21,30,21,27,33,48,53,48,18,48,25,64,1,3,25,42,48,34,21,15,5,41,28,30,2,5,15,9,1,9,47,58,43,7,117,39,1,76,13,17,29,62,32,70,54,52,2,53,63,7,24,38,46,48,0,18,47,9,40,33,72,89,5,54,87,0,9,144,8,9,153,5,57,59,53,2,132,21,36,19,11,4,36,5,9,85
11,66,33,99,46,28,31,124,86,34,30,86,39,17,6,6,13,8,57,9,60,123,62,108,87,5,22,8,63,100,22,0,17,1,16,30,8,17,29,79,41,42,38,40,21,67,0,9,25,52,56,22,13,28,4,37,48,48,2,6,10,19,1,6,72,44,52,14,146,28,1,57,16,18,46,54,18,69,32,72,6,61,44,13,23,34,47,76,0,31,77,22,61,44,76,74,4,44,73,0,21,193,9,19,137,8,69,46,49,5,116,16,34,15,10,9,21,5,5,92
12,96,43,88,72,44,24,124,120,80,52,107,46,14,6,3,25,19,97,12,72,134,59,168,75,4,18,2,63,107,42,0,34,0,30,53,15,15,27,89,51,44,35,41,36,51,0,8,27,71,43,34,22,25,2,43,66,38,0,10,15,31,1,8,133,74,57,7,122,18,1,98,24,8,56,42,41,103,42,70,4,42,65,21,60,54,65,147,1,26,74,33,98,42,66,96,4,34,104,0,15,213,4,27,128,11,118,42,63,1,153,12,28,31,4,7,33,4,10,81
13,97,46,130,57,35,18,117,123,69,41,78,31,21,9,5,25,11,81,10,69,179,53,149,92,3,25,8,49,103,27,0,16,2,35,44,20,17,58,103,42,49,43,39,31,54,0,9,36,89,41,49,13,21,4,33,60,65,4,6,11,13,1,15,95,60,60,10,69,25,3,72,15,22,68,54,42,89,38,77,1,68,77,14,46,42,54,83,0,17,59,54,120,44,72,108,6,39,75,0,19,235,10,30,159,12,108,60,52,0,183,22,30,29,8,6,40,12,15,105
14,71,22,97,43,40,23,125,133,53,29,86,33,13,6,1,27,4,48,5,43,211,55,202,91,1,37,5,54,113,14,3,10,2,23,26,8,15,32,122,42,33,45,18,12,53,0,9,24,65,44,21,10,20,4,25,60,85,4,3,16,19,0,5,61,42,31,11,133,17,0,73,15,16,62,44,24,48,40,86,5,35,63,22,17,25,44,119,1,34,48,9,137,34,41,78,4,38,92,0,13,251,4,40,107,8,95,46,39,4,112,21,35,24,3,9,26,6,8,98
15,46,22,83,54,36,31,155,179,68,25,69,23,4,1,1,16,8,57,9,70,272,44,247,50,11,42,1,47,92,20,2,25,1,18,58,11,18,32,151,61,23,22,18,20,37,0,2,49,66,49,35,9,8,5,29,48,62,4,14,10,24,1,6,76,48,26,13,130,22,0,44,33,10,45,30,31,75,20,86,2,38,59,15,44,18,58,73,0,8,82,40,107,41,46,54,6,23,71,0,19,317,5,24,152,13,107,40,37,2,118,9,22,18,11,1,20,4,20,83
16,55,23,82,42,29,27,187,200,103,38,93,29,10,9,1,24,12,43,16,111,336,36,247,73,10,39,4,58,147,21,1,39,3,14,33,14,9,34,224,80,26,52,23,48,77,5,6,30,76,56,18,12,20,0,40,75,101,7,11,16,27,2,5,193,40,33,7,143,15,0,52,32,11,57,33,50,78,18,97,1,37,94,18,48,22,33,147,0,13,58,83,176,31,48,44,9,26,136,0,15,408,6,31,139,5,121,26,36,5,116,5,17,33,5,10,23,4,23,128
17,81,41,88,61,61,47,303,312,198,48,95,64,13,8,8,40,20,59,15,208,481,79,341,149,3,74,6,105,178,27,2,59,3,44,106,22,16,73,208,179,51,96,39,44,104,1,15,79,175,69,35,15,34,3,43,143,144,0,12,27,45,1,7,468,65,45,12,211,31,4,96,33,24,183,37,73,130,41,202,3,51,192,31,82,46,88,259,0,27,201,44,238,80,92,85,17,46,197,0,44,479,4,52,252,23,224,37,53,4,193,10,45,51,10,5,41,11,15,175
18,65,39,112,43,33,88,358,312,167,77,68,86,23,5,7,37,16,63,17,336,665,98,642,160,6,20,38,100,162,30,4,51,1,70,86,16,22,117,297,117,20,176,40,91,125,0,6,106,352,65,23,15,22,5,43,178,224,3,12,30,25,3,10,309,58,30,11,147,23,7,87,36,14,304,42,196,107,23,236,3,45,269,44,108,40,121,241,0,44,249,27,387,134,122,89,15,44,195,0,127,376,5,48,245,20,184,41,45,4,171,22,63,96,19,6,39,11,23,135
19,18,17,55,24,16,47,189,216,78,26,48,33,15,3,2,18,4,41,5,130,374,38,390,77,4,11,17,57,102,12,1,26,0,32,30,1,2,48,188,75,17,71,17,53,58,0,6,49,174,26,10,3,8,4,34,77,116,0,3,12,16,0,4,113,29,20,4,53,13,2,48,15,3,118,23,82,67,16,98,3,19,124,38,41,17,49,129,0,15,123,12,196,73,34,31,8,21,115,0,81,283,1,22,73,1,108,26,16,2,118,12,40,49,2,2,13,8,24,62
20,20,20,49,15,11,20,117,193,72,17,41,29,6,5,3,12,3,18,5,40,277,25,149,40,5,3,7,41,109,6,0,10,0,16,24,1,5,17,192,28,13,33,10,18,25,0,3,20,97,17,10,1,6,2,14,42,61,0,1,8,3,0,0,72,13,5,4,27,10,0,25,9,1,65,24,59,45,11,51,3,21,63,17,19,8,24,66,0,6,57,6,174,14,22,24,3,13,70,1,28,248,3,14,55,1,81,13,8,5,102,3,10,16,4,4,15,2,23,71
21,16,8,41,11,12,10,75,166,62,8,21,22,2,0,0,18,7,31,3,39,230,25,96,41,1,2,4,31,78,1,0,8,0,15,27,2,2,9,189,38,9,23,2,9,19,0,2,13,52,10,7,0,9,2,21,31,81,0,6,2,3,0,1,69,16,6,4,10,10,1,10,14,1,44,9,37,27,11,48,0,12,46,11,14,10,24,49,0,9,62,2,175,20,10,24,3,7,63,0,10,264,3,16,40,6,76,3,5,2,80,0,8,18,2,1,9,1,11,47
