time,府中,萬隆,頂溪,明德,新店,關渡,忠孝新生,忠孝復興,東門,後山埤,龍山寺,中山國小,頂埔,辛亥,大湖公園,大橋頭站,菜寮,永安市場,新莊,松江南京,市政府,景美,台北101/世貿,芝山,頭前庄,動物園,南港軟體園區,台北車站,劍潭,新北投,橋和,小南門,十四張,六張犁,大安森林公園,東湖,內湖,昆陽,中山,台電大樓,三民高中,台北小巨蛋,永寧,港墘,大坪林,新北產業園區,小碧潭,南京三民,信義安和,七張,三重國小,丹鳳,台北橋,景平,紅樹林,行天宮,國父紀念館,幸福,北門,忠義,大直,板新,文德,中正紀念堂,北投,蘆洲,麟光,台大醫院,唭哩岸,中原,BL板橋,松山機場,迴龍,南京復興,景安,象山,圓山,竹圍,古亭,秀朗橋,南勢角,大安,劍南路,科技大樓,徐匯中學,永春,善導寺,Y板橋,萬芳醫院,民權西路,輔大,忠孝敦化,南港展覽館,江子翠,新埔,先嗇宮,新店區公所,雙連,新埔民生,西湖,西門,萬芳社區,南港,石牌,葫洲,公館,海山,亞東醫院,中和,淡水,土城,奇岩,中山國中,復興崗,木柵,三和國中,三重,松山,士林
0,9,16,27,12,5,10,4,16,6,6,10,6,3,0,3,0,3,11,5,2,10,16,12,20,0,3,0,4,12,0,0,1,0,7,6,1,5,5,2,4,6,3,1,3,12,0,1,6,17,16,10,6,14,1,20,9,9,1,0,0,4,0,2,8,9,13,3,0,10,0,15,0,5,8,15,6,10,11,12,1,9,7,0,4,5,16,1,0,8,11,1,10,12,9,14,1,16,7,0,0,24,2,6,24,1,22,14,6,0,39,0,2,4,3,4,9,2,1,11
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,7,8,9,3,7,21,20,29,6,9,5,3,0,0,3,2,2,0,9,51,10,29,8,1,0,1,6,24,5,0,3,1,12,20,1,1,9,11,10,2,3,5,3,5,0,0,5,26,13,4,0,2,0,5,12,11,0,1,7,1,0,0,43,4,2,0,40,2,0,7,2,1,10,4,9,23,4,12,0,1,20,1,4,1,7,21,0,7,11,0,21,18,3,3,1,4,39,0,5,12,2,13,42,0,20,1,6,0,12,0,5,5,4,1,0,1,1,18
7,7,9,24,57,11,27,64,105,117,23,21,15,11,0,0,14,9,14,2,110,243,24,84,77,0,4,13,18,92,11,0,35,1,20,64,3,6,66,41,90,9,55,7,21,26,0,1,23,107,18,3,3,5,0,24,62,76,0,5,24,13,0,6,255,36,6,2,161,8,0,15,14,4,95,10,43,53,11,105,0,12,106,12,48,9,19,137,0,23,88,4,129,49,19,14,13,8,129,0,28,68,3,25,161,6,77,3,13,0,26,6,14,30,4,6,3,4,4,78
8,13,19,41,38,14,116,301,268,195,24,33,64,14,7,0,22,3,35,1,369,590,45,490,152,7,17,35,46,157,9,0,59,1,62,94,4,8,76,179,185,11,158,17,82,92,0,1,85,375,26,9,4,14,3,27,208,203,2,9,47,17,0,7,445,34,5,1,298,9,1,40,34,3,333,11,184,122,10,230,1,22,307,57,138,6,68,281,0,34,244,5,328,71,25,20,17,22,282,0,146,192,2,24,168,5,176,7,20,0,35,2,55,84,9,4,18,2,8,101
9,11,17,30,43,16,62,200,219,105,11,29,43,4,4,4,18,2,26,8,136,394,41,346,84,3,56,6,33,136,13,1,48,1,30,63,3,7,35,145,86,3,83,11,72,65,0,2,39,162,34,7,0,6,1,23,111,175,0,8,24,17,0,3,187,23,4,5,239,6,0,43,26,5,150,12,136,70,14,151,0,19,177,20,91,9,61,158,0,24,128,8,197,47,25,14,5,23,148,0,74,119,2,14,156,5,137,4,19,0,58,3,30,53,4,5,10,1,10,135
